"metadata__project","metadata__problem_statement","metadata__prototype_corridor","metadata__data_sources","metadata__processing_notes","metadata__attribution__OpenStreetMap","metadata__attribution__Copernicus DEM","metadata__attribution__GSI","metadata__attribution__Rainfall","records__road_id","records__road_type","records__road_name","records__latitude","records__longitude","records__road_length_km","records__elevation_m","records__slope_deg","records__historical_landslide_count","records__nearest_landslide_distance_km","records__rainfall_24h_mm","records__rainfall_3d_mm","records__rainfall_7d_mm"
"Smart India Hackathon 2026","26002: AI-Based Smart Logistics and Accessibility Intelligence Platform for the NER","Assam-Arunachal Pradesh (Guwahati to Itanagar)","OpenStreetMap","Roads segmented from OSM. Elevation and slope extracted from Copernicus DEM. Historical landslides matched within 5km radius. Rainfall data extracted from real CHIRPS satellite observations (July 2017).","© OpenStreetMap contributors","© DLR/Airbus/Copernicus","Geological Survey of India","Climate Hazards Group InfraRed Precipitation with Station data (CHIRPS)","way/22827116","secondary","null","26.006999731540887","91.49208158785277","21.44596658611926","21.396701749165853","0.2612194588797941","0","14.18","7.78","30.62","99.63"
"","","","Copernicus DEM","","","","","","way/38719482","trunk","Saraighat Bridge","26.1754077","91.6722522","1.2380993365945785","42.94139232191929","1.418387550002861","10","2.32","8.54","23.7","54.46"
"","","","Geological Survey of India (GSI)","","","","","","way/44638618","secondary","Garchuk Pamohi Road","26.10718074338212","91.63246150094034","7.278795569801193","54.4372537612915","1.4664744504820988","0","7.098","6.53","18.77","49.17"
"","","","CHIRPS Daily Precipitation (Monsoon Season)","","","","","","way/44638677","tertiary","null","26.100743430200264","91.71221466182732","1.654676327114373","54.4683598970112","1.6882026116942923","4","2.297","10.28","27.84","58.21"
"","","","","","","","","","way/44638799","trunk","null","26.124561873767824","91.68264197484812","4.5568138391656","52.13139998118083","0.5614597759783989","4","3.392","8.63","23.8","54.17"
"","","","","","","","","","way/44638826","secondary","Assam Engineering College Road","26.14162103980248","91.6586780175112","5.041296328669925","55.74847342173258","1.738662667517458","1","2.545","8.63","23.8","54.17"
"","","","","","","","","","way/44639059","trunk_link","null","26.159552016392947","91.67243212390558","0.4759358590676369","52.05387654024012","1.9490661374448084","8","0.799","8.54","23.7","54.46"
"","","","","","","","","","way/44639607","secondary","Panjabari Road","26.133532316940013","91.82284309836233","2.1972335635694287","60.14280821482341","1.6569580641029102","4","1.691","8.9","26.14","54.58"
"","","","","","","","","","way/44639622","secondary","null","26.154271747259024","91.88858110328364","10.088806753641542","81.80707588195801","1.2589329937832527","4","2.749","14.58","34.4","58.5"
"","","","","","","","","","way/44639797","primary","Kajali Mayang Road","26.23672836717468","92.00582394577935","5.441682958297154","60.4178471883138","2.492252362430093","1","4.287","22.35","51.07","80.46"
"","","","","","","","","","way/44639823","primary","null","26.19714065973649","91.85046560995936","2.533460892066067","61.25362033843994","3.3721964677247014","7","0.973","14.58","34.4","58.5"
"","","","","","","","","","way/44639845","secondary","VIP Road","26.16196098287926","91.82197453539642","4.249964561927487","59.53929258982341","1.112884774314426","17","3.05","11.76","30.98","59.55"
"","","","","","","","","","way/44639846","primary","null","26.18228775","91.8370857","0.0392521784273525","52.49836858113607","4.071666862418483","10","1.235","11.76","30.98","59.55"
"","","","","","","","","","way/44639859","primary","null","26.18451508840793","91.8402531648882","0.786004281674753","55.369591440473286","1.94836909916606","9","1.18","11.76","30.98","59.55"
"","","","","","","","","","way/44641071","trunk","null","26.188915349221745","91.64985621959543","3.783147940021976","52.41423085530599","1.6239700831574884","2","4.641","7.92","21.11","50.32"
"","","","","","","","","","way/44641072","tertiary","null","26.20002974856025","91.64295920520354","0.603287427169995","52.95604463057085","1.126161390909157","1","4.791","11.06","26.29","51.91"
"","","","","","","","","","way/44641101","secondary","null","26.183518202951056","91.66904223988332","0.4680467739939983","51.164971519919","1.919875322904308","8","3.244","8.54","23.7","54.46"
"","","","","","","","","","way/44641105","secondary","null","26.18325745","91.6716061","0.0700639221509854","59.9888219833374","5.493639456587897","10","3.004","8.54","23.7","54.46"
"","","","","","","","","","way/44641120","secondary","null","26.18320627077202","91.67629398688624","0.8978071688786524","52.42066032655777","1.923965533851132","10","2.6","8.54","23.7","54.46"
"","","","","","","","","","way/44641131","trunk","null","26.188383364394124","91.66786873952472","0.8052186540304022","51.74879114968436","1.6156925490819591","6","3.296","8.54","23.7","54.46"
"","","","","","","","","","way/44641140","primary","null","26.210229331623875","91.59081268278372","7.282655156303813","52.27847480773926","0.8661844506890682","0","9.84","6.59","18.32","42.11"
"","","","","","","","","","way/44641222","secondary","null","26.19015540766755","91.71354941893186","0.9093385919778856","52.6157306432724","1.8369802536928568","17","2.624","10.46","28.15","58.66"
"","","","","","","","","","way/44641257","secondary","null","26.1824046701398","91.69072272518294","2.3325350838671035","53.8969580968221","2.613119757500571","13","1.532","8.54","23.7","54.46"
"","","","","","","","","","way/44642944","trunk","null","26.15753944421912","91.67267846490982","0.2175469399508345","51.52027638753256","3.593258697133741","8","0.673","8.54","23.7","54.46"
"","","","","","","","","","way/44643106","primary","null","26.158192748903726","91.68130108180227","1.5135471820733244","51.76514266087459","1.2274653672165072","13","0.382","8.54","23.7","54.46"
"","","","","","","","","","way/44643131","primary","null","26.158304353785848","91.68108270326464","1.491348599137081","51.57871358534869","1.0572095134639423","13","0.38","8.54","23.7","54.46"
"","","","","","","","","","way/44643152","primary","Assam Trunk Road Flyover","26.158978190454413","91.6913511366178","0.4836800129678239","53.46213743421767","1.0684757427050358","16","1.294","8.54","23.7","54.46"
"","","","","","","","","","way/44643275","trunk","null","26.113173523013675","91.73209664095324","1.3046381088901746","51.40985921223958","1.0787954572425955","13","1.074","10.28","27.84","58.21"
"","","","","","","","","","way/44643283","trunk","null","26.11568395","91.71937975","0.0370354207576575","50.42437998453776","0.975442765239008","15","0.668","10.28","27.84","58.21"
"","","","","","","","","","way/44643353","trunk","NH37","26.118471045735102","91.81751242993548","0.2927774192829098","69.464487249201","4.2720966556143285","5","2.693","8.9","26.14","54.58"
"","","","","","","","","","way/44643354","trunk","null","26.11174779491156","91.74547787974905","0.7005515390491512","56.70410385131836","1.1205309973687831","13","0.487","10.28","27.84","58.21"
"","","","","","","","","","way/44643380","primary","null","26.119661186090195","91.8223569271878","0.1771431055746415","67.31986563546317","3.4879166788362763","5","2.226","8.9","26.14","54.58"
"","","","","","","","","","way/44643397","tertiary","null","26.1189637803003","91.82060448097808","0.3368538017301131","69.2617319547213","5.532827390350234","5","2.411","8.9","26.14","54.58"
"","","","","","","","","","way/44643404","trunk_link","null","26.11964539997617","91.82460140653724","0.1067767609996614","68.17780303955078","0.6815365689014227","3","2.057","8.9","26.14","54.58"
"","","","","","","","","","way/44644201","tertiary","null","26.121164943341995","91.81679315842834","0.6235324276171924","65.37625139409846","1.6628487751411474","5","2.598","8.9","26.14","54.58"
"","","","","","","","","","way/44644259","tertiary","Ganesh Nager Road","26.092391381334977","91.79410068019092","1.9989919807971253","67.76893793741861","1.695254638462881","0","5.541","12.6","32.68","61.83"
"","","","","","","","","","way/44644278","tertiary","null","26.10191315","91.79747635","0.0206265983194331","66.66869354248047","0.0","0","5.399","9.51","26.9","56.37"
"","","","","","","","","","way/44644279","tertiary","null","26.099748461394302","91.80078759650895","0.3298964737548953","65.9932181040446","2.027280265274576","0","5.305","13.55","34.22","61.21"
"","","","","","","","","","way/44644280","tertiary","null","26.1020673","91.7972446","0.0370876212286219","68.3057149251302","6.860713270680973","0","5.406","9.51","26.9","56.37"
"","","","","","","","","","way/44644341","tertiary","pilingkata road","26.106224505322828","91.80136707545296","1.0407581521331517","63.52456908755832","1.8584019377605825","1","4.798","8.9","26.14","54.58"
"","","","","","","","","","way/44644363","tertiary","patarkuchi road","26.10863081270288","91.80681221444374","2.113621546451932","65.90242570241293","1.8221471099858144","2","4.204","8.9","26.14","54.58"
"","","","","","","","","","way/44644445","tertiary","Pir Azan Fakir Road","26.12313936210138","91.80222483429137","0.5909992794300443","58.880265008835565","1.330780766929022","6","3.592","8.9","26.14","54.58"
"","","","","","","","","","way/44644447","tertiary","null","26.123541991368647","91.79899936077564","0.0602952146760352","60.55893135070801","4.269106992937129","7","3.476","9.51","26.9","56.37"
"","","","","","","","","","way/44644449","tertiary","null","26.12342052645026","91.79958779150266","0.164024303984047","59.94248689923968","1.4603073392227828","6","3.501","9.51","26.9","56.37"
"","","","","","","","","","way/44644556","primary","Kalaguru Bishnuprasad Rabha Flyover","26.149718062379904","91.78527651835384","0.6538612062621554","56.96094695381496","3.672591356010466","27","0.893","9.51","26.9","56.37"
"","","","","","","","","","way/44644560","primary","G.S. Road","26.16284285","91.77092475","0.0535421055355192","52.7605349222819","4.4591944279602815","40","0.951","12.03","31.71","62.66"
"","","","","","","","","","way/44644633","secondary","Lokhra-Lalganesh Road","26.13760368449637","91.73904685572091","4.972632368645221","55.01284249623617","1.0511378539619871","28","0.225","10.28","27.84","58.21"
"","","","","","","","","","way/44645090","tertiary","null","26.24811387678952","91.78232980222492","0.0621992815337287","52.83497905731201","14.732927635805988","0","6.073","11.97","30.53","58.86"
"","","","","","","","","","way/44645091","tertiary","null","26.2479913","91.7829322","0.0614579666267703","48.68243980407715","7.114288017740552","0","6.079","11.97","30.53","58.86"
