road_id,road_ref,road_type,road_name,latitude,longitude,road_length_km,elevation_m,slope_deg,terrain_sample_count
way/22827116,,secondary,,26.006999731540887,91.49208158785275,21.44596658611926,21.396701749165853,0.26121945887979414,60
way/38719482,NH27,trunk,Saraighat Bridge,26.1754077,91.6722522,1.2380993365945783,42.94139232191929,1.4183875500028613,43
way/44638618,,secondary,Garchuk Pamohi Road,26.10718074338212,91.63246150094034,7.278795569801193,54.4372537612915,1.4664744504820988,60
way/44638677,,tertiary,,26.100743430200264,91.71221466182733,1.654676327114373,54.468359897011204,1.6882026116942925,57
way/44638799,NH27,trunk,,26.124561873767824,91.68264197484811,4.5568138391656,52.13139998118083,0.5614597759783989,60
way/44638826,,secondary,Assam Engineering College Road,26.141621039802473,91.6586780175112,5.041296328669925,55.748473421732584,1.7386626675174581,60
way/44639059,,trunk_link,,26.159552016392947,91.67243212390558,0.4759358590676369,52.05387654024012,1.9490661374448084,17
way/44639607,,secondary,Panjabari Road,26.133532316940013,91.82284309836233,2.1972335635694287,60.142808214823404,1.6569580641029102,60
way/44639622,,secondary,,26.154271747259024,91.88858110328363,10.088806753641542,81.80707588195801,1.2589329937832527,60
way/44639797,SH3,primary,Kajali Mayang Road,26.236728367174678,92.00582394577937,5.441682958297154,60.4178471883138,2.492252362430093,60
way/44639823,SH3,primary,,26.197140659736494,91.85046560995937,2.533460892066067,61.253620338439944,3.3721964677247014,60
way/44639845,,secondary,VIP Road,26.16196098287926,91.82197453539642,4.249964561927487,59.539292589823404,1.1128847743144261,60
way/44639846,SH3,primary,,26.18228775,91.83708569999999,0.039252178427352506,52.49836858113607,4.071666862418483,3
way/44639859,SH3,primary,,26.18451508840793,91.8402531648882,0.786004281674753,55.369591440473286,1.9483690991660598,28
way/44641071,NH427,trunk,,26.188915349221745,91.64985621959543,3.7831479400219745,52.41423085530599,1.6239700831574884,60
way/44641072,,tertiary,,26.200029748560258,91.64295920520354,0.603287427169995,52.956044630570844,1.126161390909157,22
way/44641101,,secondary,,26.183518202951056,91.66904223988331,0.4680467739939983,51.164971519919,1.919875322904308,17
way/44641105,,secondary,,26.18325745,91.67160609999999,0.07006392215098545,59.9888219833374,5.493639456587897,4
way/44641120,,secondary,,26.18320627077202,91.67629398688624,0.8978071688786524,52.42066032655777,1.9239655338511321,31
way/44641131,NH427,trunk,,26.188383364394124,91.66786873952472,0.8052186540304022,51.74879114968436,1.6156925490819591,28
way/44641140,SH41,primary,,26.210229331623875,91.59081268278372,7.2826551563038135,52.27847480773926,0.8661844506890682,60
way/44641222,,secondary,,26.19015540766755,91.71354941893186,0.9093385919778855,52.6157306432724,1.8369802536928574,32
